Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
ACES,Consumer Cyclicals,ya,6.129.099.512.600,9891426210.0,10.14,7.85,7.74,,,"[null, 38.96582315435081, 45.023960588348395, 52.258757071696415, 39.23952494537723]","[32.15, 20.59, 31.06, 33.5, 33.87]","[null, 511348997571.0, 1174683322814.0, 603087794088.0, 1459600691052.0]","[null, 0.5284, 0.6899, 0.641, 0.8632]","[null, null, null, 0.0454, 0.0826]",10.61,,9.975013185775808,2.217587767517111
ADMF,Financials,tidak,10.875.067.359.200,518477375.0,10.28,4.01,15.11,18.0,2.5,"[null, 1085.6683002653222, 1418.0129698601197, 1294.966579136023, 1050.6023046701132]","[513.0, 607.0, 803.0, 972.0, 703.0]","[null, 781557000000.0, -4201052000000.0, -27912000000.0, 202815000000.0]","[null, 0.5591, 0.5663, 0.7506, 0.6691]","[null, null, null, 0.1147, 0.0878]",,,6.918097189401239,0.9911635365807598
ASGR,Industrials,ya,2.212.000.020.000,1371701175.0,12.94,8.68,9.05,,,"[null, 71.96945685380238, 106.75691421599095, 152.952920920393, 201.79981867842162]","[16.0, 27.0, 34.0, 53.0, 80.0]","[null, 253937000000.0, 85134000000.0, 427891000000.0, 363564000000.0]","[null, 0.3752, 0.3185, 0.3465, 0.3964]","[null, null, null, 0.0749, 0.0768]",124.04,,6.814580333815407,1.5713128026517986
ASII,Industrials,ya,241.889.230.011.500,342387026625.0,11.27,6.46,10.13,,,"[null, 753.4409008948426, 864.9634861746284, 847.2958465259339, 811.119707880691]","[132.0, 282.0, 650.0, 519.0, 406.0]","[null, 25487000000000.0, 11648000000000.0, 27521000000000.0, 27254000000000.0]","[null, 0.3743, 0.7515, 0.6125, 0.5005]","[null, null, null, 0.1208, 0.0637]",14.2,,6.814580333815407,1.5713128026517986
ASSA,Transportation & Logistic,ya,2.971.365.701.185,6600644050.0,13.08,4.93,6.97,,,"[null, 28.282583972820323, 28.689260397452703, 65.87142575616107, 113.49087296000464]","[null, null, null, 40.0, 50.0]","[null, -399660821308.0, 266899246867.0, 316666762010.0, 794473964135.0]","[null, null, null, 0.6072, 0.4406]","[null, null, null, 0.0615, 0.0444]",3.64,,6.874085083154332,1.7723643131784446
AUTO,Consumer Cyclicals,ya,12.386.713.810.000,5832846450.0,13.0,9.75,11.08,,,"[null, 275.75358856576156, 382.3206925152819, 391.3469123254158, 457.5419708835162]","[26.5, 62.0, 128.0, 189.0, 192.0]","[null, 318673000000.0, 1264936000000.0, 959346000000.0, 1399873000000.0]","[null, 0.2248, 0.3348, 0.4829, 0.4196]","[null, null, null, 0.0955, 0.0761]",71.3,,9.975013185775808,2.217587767517111
BBNI,Financials,tidak,137.358.544.003.920,151675100950.0,11.36,1.47,23.28,18.0,2.5,"[null, 26322.83782298607, 28977.921770718804, 28598.59193067009, 26883.938860097514]","[22.01131, 73.14845, 196.39006, 280.49518, 374.0575]","[null, 17511310000000.0, 8037804000000.0, -66324582000000.0, 100187435000000.0]","[null, 0.0028, 0.0068, 0.0098, 0.0139]","[null, null, null, 0.0763, 0.093]",,,6.918097189401239,0.9911635365807598
BBYB,Financials,tidak,4.044.395.122.038,4345163680.0,13.37,2.98,17.59,18.0,2.5,"[null, -59.00250789335788, -38.0452011435614, 2.068800158990151, 43.691835611824715]","[0.207781, null, null, null, null]","[null, 2890715000000.0, -2257906000000.0, 94110000000.0, 4340185000000.0]","[null, null, null, null, null]","[null, null, null, null, null]",,,6.918097189401239,0.9911635365807598
BIRD,Transportation & Logistic,ya,3.865.744.500.000,2042862650.0,10.05,6.59,11.14,,,"[null, 134.425108627574, 173.77202512949873, 208.55604314590673, 220.44410707868033]","[36.0, 60.0, 72.0, 91.0, 120.0]","[null, -30441000000.0, -302592000000.0, -310353000000.0, -843067000000.0]","[null, 0.4463, 0.4143, 0.4363, 0.5444]","[null, null, null, 0.0603, 0.0706]",8.98,,6.874085083154332,1.7723643131784446
BNGA,Financials,tidak,41.567.608.919.280,6745465050.0,11.82,1.85,24.89,18.0,2.5,"[null, null, null, null, null]","[44.06, 94.07, 115.16, 122.67, 155.73]","[null, -17173340000000.0, -2500285000000.0, 7267599000000.0, 3301483000000.0]","[null, null, null, null, null]","[null, null, null, 0.0848, 0.0953]",,,6.918097189401239,0.9911635365807598
