Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
AADI,Energy,ya,65.409.890.784.000,134105709686.6211,18.58,12.15,67.28,,,,,,,,,,9.458133096322559,12733.079698350695
ACES,Consumer Cyclicals,ya,6.129.099.512.600,10207012836.830444,10.14,7.85,7.74,,,,,,,,,,9.188353289874676,1.498287084113258
ADES,Consumer Non-Cyclicals,ya,11.827.430.840.000,1408634625.0,24.71,20.78,27.19,,,,,,,,,,10.097954290190295,1.6197793744507782
ADMR,Energy,ya,75.632.313.275.000,60326791900.0,15.79,9.38,27.88,,,,,,,,,,9.458133096322559,12733.079698350695
AKRA,Energy,ya,31.716.089.868.000,32304037275.0,15.84,6.76,5.37,,,,,,,,,,9.458133096322559,12733.079698350695
AMRT,Consumer Non-Cyclicals,tidak,54.812.342.244.000,246063292497.2827,17.6,8.01,2.69,,,,,,,,,,10.097954290190295,1.6197793744507782
ANTM,Basic Materials,ya,69.689.217.702.500,603448415277.5072,21.0,13.4,28.93,,,,,,,,,,8.160664661774092,2.445025625154248
ARNA,Industrials,ya,3.274.278.215.296,1804862400.0,18.78,12.85,59.94,,,,,,,,,,6.891959068295139,1.8900519565160445
ASGR,Industrials,ya,2.212.000.020.000,1175154925.0,12.94,8.68,9.05,,,,,,,,,,6.891959068295139,1.8900519565160445
ASII,Industrials,ya,241.889.230.011.500,508411504725.0,11.27,6.46,10.13,,,,,,,,,,6.891959068295139,1.8900519565160445
ASSA,Transportation & Logistic,ya,2.971.365.701.185,5776065325.0,13.08,4.93,6.97,,,,,,,,,,9.861589360740501,2.306618910758991
AUTO,Consumer Cyclicals,ya,12.386.713.810.000,6535223950.0,13.0,9.75,11.08,,,,,,,,,,9.188353289874676,1.498287084113258
AVIA,Basic Materials,ya,21.559.837.348.800,4699284830.0,18.19,15.53,76.49,,,,,,,,,,8.160664661774092,2.445025625154248
BBCA,Financials,tidak,695.641.107.150.000,2392269829625.0,22.39,3.54,221.88,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BBNI,Financials,tidak,137.358.544.003.920,301827539800.0,11.36,1.47,23.28,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BBRI,Financials,tidak,442.628.064.181.650,1224071364400.0,16.95,2.6,96.78,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BBTN,Financials,tidak,17.645.506.960.630,21586835200.0,10.08,0.72,48.48,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BBYB,Financials,tidak,4.044.395.122.038,4243191140.0,13.37,2.98,17.59,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BFIN,Financials,tidak,10.377.174.697.800,13951916105.862732,13.98,6.06,107.26,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BIRD,Transportation & Logistic,ya,3.865.744.500.000,2665308050.0,10.05,6.59,11.14,,,,,,,,,,9.861589360740501,2.306618910758991
BMRI,Financials,tidak,376.991.999.983.680,1090603873300.0,18.63,2.4,128.47,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BNGA,Financials,tidak,41.567.608.919.280,8629445450.0,11.82,1.85,24.89,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BREN,Infrastructures,tidak,441.494.526.000.000,387449607400.0,14.97,3.56,84.85,,,,,,,,,,10.786604321351023,1.632544489754265
BRIS,Financials,ya,81.060.482.809.225,40426122250.0,14.57,1.66,39.22,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BSSR,Energy,ya,10.361.340.000.000,4088611850.0,29.91,22.72,53.29,,,,,,,,,,9.458133096322559,12733.079698350695
BTPS,Financials,ya,7.626.663.000.000,5074227325.0,12.06,5.28,25.39,18.0,2.5,,,,,,,,6.4616081780493015,0.7414960278359822
BWPT,Consumer Non-Cyclicals,tidak,2.616.599.153.000,5789122645.0,12.68,3.64,26.81,,,,,,,,,,10.097954290190295,1.6197793744507782
BYAN,Energy,ya,327.500.016.375.000,1316611250.0,25.49,21.0,89.64,,,,,,,,,,9.458133096322559,12733.079698350695
CBDK,Properties & Real Estate,ya,26.247.213.035.000,12861380853.07251,11.39,6.04,54.49,,,,,,,,,,7.940899418816937,0.7977750435360789
CLEO,Consumer Non-Cyclicals,ya,9.312.000.000.000,1813074220.0,15.82,11.81,49.73,,,,,,,,,,10.097954290190295,1.6197793744507782
CMRY,Consumer Non-Cyclicals,ya,33.643.055.920.000,12346296200.0,29.96,23.26,18.96,,,,,,,,,,10.097954290190295,1.6197793744507782
CNMA,Consumer Cyclicals,ya,8.667.880.000.000,1186208730.0,16.24,10.42,12.03,,,,,,,,,,9.188353289874676,1.498287084113258
CPIN,Consumer Non-Cyclicals,ya,65.755.980.000.000,58014573977.68555,16.53,12.31,7.98,,,,,,,,,,10.097954290190295,1.6197793744507782
CPRO,Consumer Non-Cyclicals,ya,3.395.625.818.859,3866715185.0,11.18,5.87,4.26,,,,,,,,,,10.097954290190295,1.6197793744507782
CUAN,Energy,tidak,70.823.907.000.000,492566087510.0,21.79,4.96,36.86,,,,,,,,,,9.458133096322559,12733.079698350695
DEWA,Energy,ya,13.589.603.037.496,262828985530.0,54.87,27.15,279.52,,,,,,,,,,9.458133096322559,12733.079698350695
DKFT,Basic Materials,ya,4.003.155.086.000,5073400250.0,45.97,21.89,133.22,,,,,,,,,,8.160664661774092,2.445025625154248
DMAS,Properties & Real Estate,ya,6.795.933.665.100,22440312625.0,12.1,11.24,61.13,,,,,,,,,,7.940899418816937,0.7977750435360789
DRMA,Consumer Cyclicals,ya,4.588.235.242.500,1608156125.0,21.33,14.63,42.32,,,,,,,,,,9.188353289874676,1.498287084113258
DSNG,Consumer Non-Cyclicals,ya,12.613.812.456.000,12209532443.582764,15.77,10.71,65.92,,,,,,,,,,10.097954290190295,1.6197793744507782
DSSA,Energy,ya,311.110.499.200.000,771171328590.0,10.2,5.22,8.26,,,,,,,,,,9.458133096322559,12733.079698350695
ELSA,Energy,ya,5.765.815.000.000,15054793750.62622,13.52,6.55,4.96,,,,,,,,,,9.458133096322559,12733.079698350695
EMTK,Technology,tidak,50.676.822.473.475,26282174196.66443,12.72,11.17,35.51,,,,,,,,,,12.101348513255012,1.5632451910338614
ENRG,Energy,ya,44.788.591.425.000,88214729775.0,11.13,5.02,18.38,,,,,,,,,,9.458133096322559,12733.079698350695
ERAA,Consumer Cyclicals,ya,5.965.300.000.000,8299616230.0,13.2,4.58,6.45,,,,,,,,,,9.188353289874676,1.498287084113258
FORE,Consumer Non-Cyclicals,ya,8.338.665.917.450,8234001050.0,13.24,7.77,6.02,,,,,,,,,,10.097954290190295,1.6197793744507782
GJTL,Consumer Cyclicals,ya,4.164.336.000.000,5367873986.642456,11.89,5.74,7.04,,,,,,,,,,9.188353289874676,1.498287084113258
HMSP,Consumer Non-Cyclicals,tidak,80.841.063.445.500,14347013907.714844,22.18,13.0,24.8,,,,,,,,,,10.097954290190295,1.6197793744507782
HRTA,Consumer Cyclicals,tidak,11.467.103.376.000,28553724410.980225,34.45,9.17,6.26,,,,,,,,,,9.188353289874676,1.498287084113258
ICBP,Consumer Non-Cyclicals,ya,79.009.426.700.000,43924022875.0,12.52,6.81,12.32,,,,,,,,,,10.097954290190295,1.6197793744507782
IMPC,Industrials,ya,121.893.540.000.000,45793852250.0,18.25,11.68,14.52,,,,,,,,,,6.891959068295139,1.8900519565160445
IPCC,Infrastructures,ya,2.200.245.632.200,1298729862.810669,18.26,12.66,127.67,,,,,,,,,,10.786604321351023,1.632544489754265
ISAT,Infrastructures,ya,64.340.367.859.215,42838630150.0,13.95,4.64,9.75,,,,,,,,,,10.786604321351023,1.632544489754265
ITMG,Energy,ya,30.112.501.250.000,68315507000.0,10.01,7.94,10.15,,,,,,,,,,9.458133096322559,12733.079698350695
JARR,Consumer Non-Cyclicals,tidak,14.907.524.055.750,4275234825.0,12.77,6.31,32.21,,,,,,,,,,10.097954290190295,1.6197793744507782
JPFA,Consumer Non-Cyclicals,ya,28.730.109.242.450,58355149875.0,23.34,13.07,29.02,,,,,,,,,,10.097954290190295,1.6197793744507782
JTPE,Industrials,ya,4.316.791.500.000,1446095875.0,23.21,12.74,12.63,,,,,,,,,,6.891959068295139,1.8900519565160445
KLBF,Healthcare,ya,36.046.311.485.800,58965851689.02527,14.06,11.31,37.37,,,,,,,,,,12.633935710858788,1.7280584095796077
KRAS,Basic Materials,tidak,5.610.455.101.000,1353787505.0,44.86,11.77,33.91,,,,,,,,,,8.160664661774092,2.445025625154248
