Ticker;Sektor;Syariah;MktCap;ROE;ROA;NPM
ACES;Consumer Cyclicals;ya;6.129.099.512.600;10,14;7,85;7,74
ADMF;Financials;tidak;10.875.067.359.200;10,28;4,01;15,11
ASGR;Industrials;ya;2.212.000.020.000;12,94;8,68;9,05
ASII;Industrials;ya;241.889.230.011.500;11,27;6,46;10,13
ASSA;Transportation & Logistic;ya;2.971.365.701.185;13,08;4,93;6,97
AUTO;Consumer Cyclicals;ya;12.386.713.810.000;13;9,75;11,08
BBNI;Financials;tidak;137.358.544.003.920;11,36;1,47;23,28
BBYB;Financials;tidak;4.044.395.122.038;13,37;2,98;17,59
BIRD;Transportation & Logistic;ya;3.865.744.500.000;10,05;6,59;11,14
BNGA;Financials;tidak;41.567.608.919.280;11,82;1,85;24,89
BTPS;Financials;ya;7.626.663.000.000;12,06;5,28;25,39
CBDK;Properties & Real Estate;ya;26.247.213.035.000;11,39;6,04;54,49
CLPI;Basic Materials;ya;505.458.525.000;11,37;8,01;6,96
CPRO;Consumer Non-Cyclicals;ya;3.395.625.818.859;11,18;5,87;4,26
DMAS;Properties & Real Estate;ya;6.795.933.665.100;12,1;11,24;61,13
DSSA;Energy;ya;311.110.499.200.000;10,2;5,22;8,26
DVLA;Healthcare;ya;1.797.600.000.000;11,08;6,98;7,35
ELSA;Energy;ya;5.765.815.000.000;13,52;6,55;4,96
EMTK;Technology;tidak;50.676.822.473.475;12,72;11,17;35,51
ENRG;Energy;ya;44.788.591.425.000;11,13;5,02;18,38
EPMT;Consumer Non-Cyclicals;ya;6.392.390.400.000;10,03;6,01;2,39
FORE;Consumer Non-Cyclicals;ya;8.338.665.917.450;13,24;7,77;6,02
GHON;Infrastructures;ya;984.500.000.000;10,05;5,34;36,97
GJTL;Consumer Cyclicals;ya;4.164.336.000.000;11,89;5,74;7,04
ICBP;Consumer Non-Cyclicals;ya;79.009.426.700.000;12,52;6,81;12,32
IFII;Basic Materials;ya;2.070.640.000.000;13,25;10,75;14,3
IKBI;Industrials;ya;679.320.000.000;10,62;8,17;5
IRRA;Healthcare;ya;617.600.000.000;11,34;2,69;5,96
ISAT;Infrastructures;ya;64.340.367.859.215;13,95;4,64;9,75
ITMG;Energy;ya;30.112.501.250.000;10,01;7,94;10,15
JRPT;Properties & Real Estate;ya;14.137.237.414.500;11,81;8,56;39,79
LSIP;Consumer Non-Cyclicals;ya;11.764.437.839.625;13,49;12,15;34,25
MAHA;Energy;ya;2.516.566.000.000;12,75;8,09;8,3
MAIN;Consumer Non-Cyclicals;ya;1.914.131.250.000;13,67;6,9;3,1
MAPI;Consumer Cyclicals;ya;20.169.000.000.000;12,96;6,8;5,18
MDLA;Healthcare;ya;3.026.770.200.000;12,62;5,96;2,63
MEGA;Financials;tidak;25.687.967.940.050;13,42;2,39;28,36
MTDL;Technology;ya;6.936.439.790.525;12,89;6,2;3
NISP;Financials;tidak;30.098.403.242.400;11,53;1,64;24,07
NOBU;Financials;tidak;3.886.921.216.500;11,55;1,17;16,27
NRCA;Infrastructures;ya;1.535.198.881.560;12,84;6,04;4,86
OMED;Healthcare;ya;7.792.948.800.000;13,33;11,47;17,78
